,img_name,label
0,train_1.jpg,21
1,train_2.jpg,29
2,train_3.jpg,17
3,train_4.jpg,21
4,train_5.jpg,50
5,train_6.jpg,8
6,train_7.jpg,42
7,train_8.jpg,68
8,train_9.jpg,10
9,train_10.jpg,9
10,train_11.jpg,39
11,train_12.jpg,11
12,train_13.jpg,44
13,train_14.jpg,49
14,train_15.jpg,5
15,train_16.jpg,20
16,train_17.jpg,61
17,train_18.jpg,20
18,train_19.jpg,43
19,train_20.jpg,54
20,train_21.jpg,40
21,train_22.jpg,21
22,train_23.jpg,23
23,train_24.jpg,64
24,train_25.jpg,58
25,train_26.jpg,33
26,train_27.jpg,45
27,train_28.jpg,3
28,train_29.jpg,12
29,train_30.jpg,46
30,train_31.jpg,59
31,train_32.jpg,3
32,train_33.jpg,77
33,train_34.jpg,14
34,train_35.jpg,13
35,train_36.jpg,18
36,train_37.jpg,77
37,train_38.jpg,54
38,train_39.jpg,64
39,train_40.jpg,69
40,train_41.jpg,47
41,train_42.jpg,63
42,train_43.jpg,20
43,train_44.jpg,20
44,train_45.jpg,44
45,train_46.jpg,66
46,train_47.jpg,80
47,train_48.jpg,30
48,train_49.jpg,80
49,train_50.jpg,12
50,train_51.jpg,20
51,train_52.jpg,53
52,train_53.jpg,68
53,train_54.jpg,20
54,train_55.jpg,69
55,train_56.jpg,61
56,train_57.jpg,67
57,train_58.jpg,29
58,train_59.jpg,9
59,train_60.jpg,20
60,train_61.jpg,24
61,train_62.jpg,78
62,train_63.jpg,2
63,train_64.jpg,17
64,train_65.jpg,25
65,train_66.jpg,39
66,train_67.jpg,37
67,train_68.jpg,20
68,train_69.jpg,57
69,train_70.jpg,36
70,train_71.jpg,64
71,train_72.jpg,6
72,train_73.jpg,46
73,train_74.jpg,1
74,train_75.jpg,72
75,train_76.jpg,27
76,train_77.jpg,60
77,train_78.jpg,72
78,train_79.jpg,31
79,train_80.jpg,48
80,train_81.jpg,74
81,train_82.jpg,60
82,train_83.jpg,54
83,train_84.jpg,52
84,train_85.jpg,30
85,train_86.jpg,72
86,train_87.jpg,43
87,train_88.jpg,51
88,train_89.jpg,20
89,train_90.jpg,57
90,train_91.jpg,13
91,train_92.jpg,60
92,train_93.jpg,20
93,train_94.jpg,15
94,train_95.jpg,26
95,train_96.jpg,13
96,train_97.jpg,49
97,train_98.jpg,75
98,train_99.jpg,44
99,train_100.jpg,19
100,train_101.jpg,21
101,train_102.jpg,52
102,train_103.jpg,50
103,train_104.jpg,17
104,train_105.jpg,5
105,train_106.jpg,20
106,train_107.jpg,20
107,train_108.jpg,40
108,train_109.jpg,19
109,train_110.jpg,58
110,train_111.jpg,64
111,train_112.jpg,17
112,train_113.jpg,62
113,train_114.jpg,77
114,train_115.jpg,4
115,train_116.jpg,22
116,train_117.jpg,47
117,train_118.jpg,8
118,train_119.jpg,20
119,train_120.jpg,9
120,train_121.jpg,79
121,train_122.jpg,20
122,train_123.jpg,34
123,train_124.jpg,20
124,train_125.jpg,15
125,train_126.jpg,20
126,train_127.jpg,57
127,train_128.jpg,20
128,train_129.jpg,41
129,train_130.jpg,55
130,train_131.jpg,53
131,train_132.jpg,29
132,train_133.jpg,57
133,train_134.jpg,1
134,train_135.jpg,11
135,train_136.jpg,72
136,train_137.jpg,20
137,train_138.jpg,29
138,train_139.jpg,73
139,train_140.jpg,45
140,train_141.jpg,74
141,train_142.jpg,77
142,train_143.jpg,26
143,train_144.jpg,7
144,train_145.jpg,63
145,train_146.jpg,62
146,train_147.jpg,68
147,train_148.jpg,75
148,train_149.jpg,14
149,train_150.jpg,48
150,train_151.jpg,20
151,train_152.jpg,47
152,train_153.jpg,62
153,train_154.jpg,35
154,train_155.jpg,10
155,train_156.jpg,20
156,train_157.jpg,62
157,train_158.jpg,55
158,train_159.jpg,52
159,train_160.jpg,57
160,train_161.jpg,15
161,train_162.jpg,50
162,train_163.jpg,34
163,train_164.jpg,2
164,train_165.jpg,38
165,train_166.jpg,55
166,train_167.jpg,76
167,train_168.jpg,49
168,train_169.jpg,30
169,train_170.jpg,61
170,train_171.jpg,20
171,train_172.jpg,50
172,train_173.jpg,58
173,train_174.jpg,45
174,train_175.jpg,15
175,train_176.jpg,62
176,train_177.jpg,15
177,train_178.jpg,25
178,train_179.jpg,51
179,train_180.jpg,18
180,train_181.jpg,46
181,train_182.jpg,11
182,train_183.jpg,7
183,train_184.jpg,31
184,train_185.jpg,61
185,train_186.jpg,10
186,train_187.jpg,45
187,train_188.jpg,75
188,train_189.jpg,4
189,train_190.jpg,28
190,train_191.jpg,70
191,train_192.jpg,1
192,train_193.jpg,35
193,train_194.jpg,28
194,train_195.jpg,74
195,train_196.jpg,8
196,train_197.jpg,31
197,train_198.jpg,10
198,train_199.jpg,72
199,train_200.jpg,41
200,train_201.jpg,61
201,train_202.jpg,65
202,train_203.jpg,50
203,train_204.jpg,34
204,train_205.jpg,16
205,train_206.jpg,76
206,train_207.jpg,37
207,train_208.jpg,24
208,train_209.jpg,12
209,train_210.jpg,49
210,train_211.jpg,47
211,train_212.jpg,38
212,train_213.jpg,12
213,train_214.jpg,5
214,train_215.jpg,20
215,train_216.jpg,5
216,train_217.jpg,56
217,train_218.jpg,63
218,train_219.jpg,51
219,train_220.jpg,47
220,train_221.jpg,53
221,train_222.jpg,21
